NMiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
85,0.05369392776383056,0.0069059625428606886,1.9928804485266047,0.5881747237492676,0.24336966108924152,0.36133293009933665,0.06753568221228792,4.188232008096445,0.0192492564082675,0.0016743186164802637,-0.004497201814103846,20.74510775171905,False,0.003497201814103846,3389.189796447754,114461.94447617883,143
86,0.05488948119830572,0.006876705388510228,1.9578669078778446,0.5859647596150936,0.24680493168450712,0.37642569746617305,0.06233801694642291,4.133673010788508,0.019156973412706176,0.005148292096976093,-0.00881838713746319,20.725254748425012,False,0.00781838713746319,3429.4674532413483,104876.32839625744,145
87,0.05442588679053896,0.006894038662914832,1.9817356812547162,0.5889431875998823,0.24600029117231215,0.36141043091497416,0.06619651510795677,4.156566246596476,0.019408626960532645,0.002634801164688838,-0.005089722249493889,20.74874165182394,False,0.004089722249493889,3468.8060138225555,109858.55131283778,147
88,0.05442588679053896,0.006894038662914832,1.9817356812547162,0.5889431875998823,0.24600029117231215,0.36141043091497416,0.06619651510795677,4.156566246596476,0.019408626960532645,0.002634801164688838,-0.005089722249493889,20.74874165182394,False,0.004089722249493889,3505.9890320301056,109858.55131283778,148
89,0.05442588679053896,0.006894038662914832,1.9817356812547162,0.5889431875998823,0.24600029117231215,0.36141043091497416,0.06619651510795677,4.156566246596476,0.019408626960532645,0.002634801164688838,-0.005089722249493889,20.74874165182394,False,0.004089722249493889,3543.262345314026,109858.55131283778,149
90,0.055863684205450986,0.006872583150436606,2.0013882946886756,0.5844810404482674,0.23830337830115111,0.36613185027946715,0.06498157181264283,4.10727036593743,0.018909318172243887,0.003603050369548555,-0.006141887258145573,20.747326497090537,False,0.005141887258145573,3583.01464509964,99570.20170693334,151
91,0.055863684205450986,0.006872583150436606,2.0013882946886756,0.5844810404482674,0.23830337830115111,0.36613185027946715,0.06498157181264283,4.10727036593743,0.018909318172243887,0.003603050369548555,-0.006141887258145573,20.747326497090537,False,0.005141887258145573,3620.6537158489227,99570.20170693334,152
92,0.055863684205450986,0.006872583150436606,2.0013882946886756,0.5844810404482674,0.23830337830115111,0.36613185027946715,0.06498157181264283,4.10727036593743,0.018909318172243887,0.003603050369548555,-0.006141887258145573,20.747326497090537,False,0.005141887258145573,3658.4123163223267,99570.20170693334,153
93,0.057292855942691456,0.006834639006245213,1.980763816395812,0.5856759358682411,0.24522846953421285,0.3640850585954296,0.06272602038428382,4.062185382532233,0.019152210523100385,0.005541158884980746,-0.007290658822888929,20.756746206052526,False,0.006290658822888929,3697.541647672653,91750.72164104953,155
94,0.057292855942691456,0.006834639006245213,1.980763816395812,0.5856759358682411,0.24522846953421285,0.3640850585954296,0.06272602038428382,4.062185382532233,0.019152210523100385,0.005541158884980746,-0.007290658822888929,20.756746206052526,False,0.006290658822888929,3734.557580947876,91750.72164104953,156
95,0.057292855942691456,0.006834639006245213,1.980763816395812,0.5856759358682411,0.24522846953421285,0.3640850585954296,0.06272602038428382,4.062185382532233,0.019152210523100385,0.005541158884980746,-0.007290658822888929,20.756746206052526,False,0.006290658822888929,3772.291428089142,91750.72164104953,157
96,0.05857447509565811,0.0068128893228572435,2.0320411098093882,0.5801324268003691,0.23320816389039067,0.35253642709266586,0.06645093257165932,4.0393184712704535,0.018478080049567927,0.0036392457408567225,-0.004403983704079906,20.783368208502807,False,0.0034039837040799057,3811.859877347946,85864.26746820888,159
97,0.05857447509565811,0.0068128893228572435,2.0320411098093882,0.5801324268003691,0.23320816389039067,0.35253642709266586,0.06645093257165932,4.0393184712704535,0.018478080049567927,0.0036392457408567225,-0.004403983704079906,20.783368208502807,False,0.0034039837040799057,3849.4300668239594,85864.26746820888,160
98,0.05857447509565811,0.0068128893228572435,2.0320411098093882,0.5801324268003691,0.23320816389039067,0.35253642709266586,0.06645093257165932,4.0393184712704535,0.018478080049567927,0.0036392457408567225,-0.004403983704079906,20.783368208502807,False,0.0034039837040799057,3887.1009604930878,85864.26746820888,161
99,0.06049532151595166,0.0067891390766971205,2.0371414152945446,0.5844875011228972,0.22993516909535838,0.35041062770183773,0.06492711409169788,3.977114195740793,0.019407056851950044,0.00545633396872347,-0.004905536357803442,20.79544563320727,False,0.00445633396872347,3926.8278801441193,76458.59048430152,163
100,0.06049532151595166,0.0067891390766971205,2.0371414152945446,0.5844875011228972,0.22993516909535838,0.35041062770183773,0.06492711409169788,3.977114195740793,0.019407056851950044,0.00545633396872347,-0.004905536357803442,20.79544563320727,False,0.00445633396872347,3963.8722128868103,76458.59048430152,164
101,0.06160716450775973,0.006756518038096333,2.02036261164847,0.5754236265944273,0.23398496213153952,0.35588573564088777,0.06253017860613508,3.954883004276746,0.019422641095744143,0.0070736888754936444,-0.006684214204508265,20.788194154698765,False,0.006073688875493644,4003.0218584537506,70604.29922338895,166
